,zCMB,mB,x1,c,HOST_LOGMASS,IDSURVEY,zHEL,RA,DEC,x1ERR,cERR,COV_x1_c
17875_1.0,0.23109627722706177,20.77478,1.16427,-0.0574877,10.702,1.0,0.23237,20.9834,1.255,0.31837,0.0392772,-0.000298475
17884_1.0,0.23775363718392742,20.59998,0.7009,-0.123607,10.453,1.0,0.23893,27.5998,1.1721,0.28536,0.0369519,0.00104276
1794_1.0,0.14069878370376507,19.8715,1.15712,0.0386873,11.0328,1.0,0.14191,317.836792,-0.4453,0.32796,0.0281139,0.000410379
18030_1.0,0.15517213627955295,20.13666,-0.586144,-0.0480665,9.658,1.0,0.15653,4.933,-0.4001,0.25052,0.0342896,0.00311972
18091_1.0,0.3697645504216922,21.62755,-0.623954,-0.188739,10.972,1.0,0.37114,23.3675,0.5247,0.6937,0.0647728,0.0157843
18241_1.0,0.0969059784492467,18.96194,-1.11324,-0.0848118,9.09279,1.0,0.098,312.387695,-0.7617,0.13387,0.0270043,0.000176512
18323_1.0,0.15271151448212936,19.99027,0.1555,-0.0381076,9.359,1.0,0.15408,3.4286,0.6522,0.22778,0.0289567,0.00165777
18325_1.0,0.2572144058166861,21.02156,0.40554,-0.0583387,11.5,1.0,0.25866,8.9057,0.37,0.38149,0.0446311,0.0033294
18415_1.0,0.1294015234637141,19.6372,-1.6309,-0.0837347,10.6005,1.0,0.13077,337.478302,1.0586,0.17234,0.0297771,0.000378258
18463_1.0,0.2668633513344058,21.06463,0.94365,-0.0417155,10.244,1.0,0.26822,17.566,0.472,0.41767,0.0466991,0.00295645
18466_1.0,0.21965772336878084,20.87484,-0.104958,0.0240345,10.917,1.0,0.2204,48.418499,0.63,0.25146,0.0357562,0.000542208
18485_1.0,0.281213764846026,21.03959,1.35117,-0.0884113,10.908,1.0,0.282,47.959099,-0.6924,0.42088,0.0404087,0.00247148
18486_1.0,0.2397056573349323,20.52269,1.07573,-0.101265,7.0,1.0,0.2403,55.18,1.0031,0.26743,0.035841,0.00061353
18602_1.0,0.13695730811157056,19.86559,0.90996,0.0635345,8.85232,1.0,0.13834,338.983612,0.6092,0.18668,0.0296454,0.00135887
18604_1.0,0.17482493743190203,20.68683,-2.13552,-0.0420897,11.05,1.0,0.17626,340.920898,0.4214,0.35414,0.0374727,0.000690975
18612_1.0,0.1136399473084088,19.42564,-0.737167,0.0640737,10.2452,1.0,0.11489,12.2879,0.597,0.13214,0.0222618,8.39691e-05
18617_1.0,0.325688072282876,21.76071,-0.183659,-0.0263842,10.076,1.0,0.32732,345.761505,0.8492,0.93194,0.0583508,0.0078361
18650_1.0,0.11242092155611969,19.19295,0.88484,-0.037948,8.53633,1.0,0.11371,328.447205,0.0151,0.11778,0.0245192,0.000259725
18697_1.0,0.10637268385908727,18.96754,0.73545,-0.00241683,9.67706,1.0,0.10762,11.2239,-0.9971,0.12052,0.0211367,-2.88472e-06
18740_1.0,0.15316494765344268,19.92532,-0.0404051,0.0299464,10.663,1.0,0.15441,16.855301,1.0437,0.12731,0.0224887,0.000357122
18749_1.0,0.18930752470504272,20.81885,-1.40939,0.0620141,11.172,1.0,0.19064,12.5473,0.6754,0.39534,0.0333526,0.00108528
18768_1.0,0.19890965508849143,20.74397,-0.395911,-0.0338505,9.778,1.0,0.2002,17.2167,1.1979,0.3013,0.0400579,0.00277131
18787_1.0,0.1891420966420127,20.95145,0.18431,0.0439023,11.072,1.0,0.19023,29.729799,-1.0271,0.44922,0.0329398,0.00282701
18804_1.0,0.19725972383655643,20.16888,0.92166,-0.0581955,10.3,1.0,0.19843,25.2656,-0.4484,0.19946,0.0247729,0.000499365
18807_1.0,0.18713799899858805,20.36088,0.46489,-0.0318753,10.998,1.0,0.1879,46.6409,0.7933,0.24678,0.0283123,0.00132314
18809_1.0,0.13152388327674075,19.54729,-1.16804,-0.072678,10.6395,1.0,0.13216,50.881302,0.6666,0.18228,0.0278443,0.000135962
18835_1.0,0.1226206240981596,19.30588,0.75966,-0.00749059,10.1221,1.0,0.12319,53.685101,0.3555,0.11148,0.0258773,0.000205485
18855_1.0,0.1271495595080196,19.48876,0.24873,-0.0226378,9.82915,1.0,0.12783,48.632301,0.2698,0.14548,0.0250185,0.000199965
18927_1.0,0.2121278066921064,21.01294,-0.578624,0.11949,11.5,1.0,0.2129,46.682499,-0.754,0.38977,0.0415208,0.00185226
18940_1.0,0.2109812737429358,20.72363,-0.841378,-0.0314463,10.226,1.0,0.21236,10.349,0.412,0.26141,0.0375543,0.0020371
18945_1.0,0.2618655806552212,21.3399,0.18686,-0.0368143,7.0,1.0,0.2633,10.0784,-1.0374,0.50529,0.0424922,0.00344273
18965_1.0,0.20452988787760043,20.46297,-0.612498,-0.107766,10.63,1.0,0.20587,13.5091,1.069,0.22995,0.0354046,0.000922056
19002_1.0,0.2700975721782258,20.96877,0.34724,-0.0978172,10.716,1.0,0.271,42.615398,-0.5512,0.32256,0.0385614,0.00136886
19008_1.0,0.23074913799439317,20.86395,1.08198,0.0668905,10.401,1.0,0.2322,331.963287,-1.0699,0.39794,0.0422028,0.00480729
19023_1.0,0.24404378726139878,20.60654,1.61576,-0.12542,7.0,1.0,0.2452,307.117004,0.0062,0.50206,0.0417806,0.0017876
19027_1.0,0.2911311620826589,21.14315,0.5424,0.0060575,9.592,1.0,0.29263,328.884186,-0.372,0.56497,0.0481676,0.00402984
19101_1.0,0.20061179619419028,20.50279,-0.229311,0.00644708,7.0,1.0,0.202,7.9727,0.1383,0.21397,0.0328569,0.00160033
19128_1.0,0.28762845303347184,21.33936,1.34109,-0.0660858,7.0,1.0,0.2892,354.203796,-0.7822,0.61004,0.0441752,0.00431978
19149_1.0,0.21023085945899464,20.13422,1.04946,0.00991228,9.612,1.0,0.21131,31.459999,-0.3319,0.19839,0.030544,0.00132622
19174_1.0,0.1635642710074763,20.26883,-0.75334,0.0558988,11.02,1.0,0.1647,25.6597,1.0304,0.21748,0.032426,0.00105026
19207_1.0,0.2572066912991147,21.24812,0.49449,0.0136953,10.626,1.0,0.2587,333.463898,-0.9203,0.59402,0.0532339,0.00148129
