,0
304,17811_1.0
305,17825_1.0
306,17875_1.0
307,17884_1.0
308,1794_1.0
309,18030_1.0
310,18091_1.0
311,18241_1.0
312,18323_1.0
313,18325_1.0
314,18415_1.0
315,18463_1.0
316,18466_1.0
317,18485_1.0
318,18486_1.0
319,18602_1.0
320,18604_1.0
321,18612_1.0
322,18617_1.0
323,18650_1.0
324,18697_1.0
325,18740_1.0
326,18749_1.0
327,18768_1.0
328,18787_1.0
329,18804_1.0
330,18807_1.0
331,18809_1.0
332,18835_1.0
333,18855_1.0
334,18927_1.0
335,18940_1.0
336,18945_1.0
337,18965_1.0
338,19002_1.0
339,19008_1.0
340,19023_1.0
341,19027_1.0
342,19101_1.0
343,19128_1.0
344,19149_1.0
345,19174_1.0
346,19207_1.0
347,19230_1.0
348,19282_1.0
349,19341_1.0
350,19353_1.0
351,19543_1.0
352,19596_1.0
353,19616_1.0
354,19632_1.0
355,19658_1.0
356,19702_1.0
357,19775_1.0
358,19794_1.0
359,19818_1.0
360,1990O_50.0
361,1990af_50.0
362,19913_1.0
363,1992P_50.0
364,1992ae_50.0
365,1992ag_50.0
366,1992al_50.0
367,1992bc_50.0
368,1992bg_50.0
369,1992bh_50.0
370,1992bl_50.0
371,1992bo_50.0
372,1992bs_50.0
373,1993B_50.0
374,1993H_50.0
375,1993O_50.0
376,1993ag_50.0
377,19940_1.0
378,1994M_61.0
379,1994S_61.0
380,19953_1.0
381,1995ac_61.0
382,1995ak_61.0
383,19969_1.0
384,1996C_61.0
385,1996bl_61.0
386,1996bv_61.0
387,1997E_62.0
388,1997dg_62.0
389,1997do_62.0
390,1998V_62.0
391,1998ab_62.0
392,1998dx_62.0
393,1998ef_57.0
394,1998ef_62.0
395,19990_1.0
396,19992_1.0
397,1999aa_57.0
398,1999aa_62.0
399,1999ac_57.0
400,1999ac_62.0
401,1999aw_50.0
402,1999cc_62.0
403,1999dk_57.0
404,1999dk_50.0
405,1999dq_57.0
406,1999dq_62.0
407,1999gp_57.0
408,1999gp_62.0
409,2000ca_50.0
410,2000cf_62.0
411,2000cn_57.0
412,2000cn_62.0
413,2000dk_57.0
414,2000dk_62.0
415,2001V_63.0
416,2001V_50.0
417,2001az_63.0
418,2001ba_50.0
419,2001bf_57.0
420,2001bf_63.0
421,2001bt_50.0
422,2001cn_50.0
423,2001cz_50.0
424,2001eh_57.0
425,2001eh_63.0
426,2001en_57.0
427,2001en_63.0
428,2001ep_57.0
429,2001ep_63.0
430,2001fe_63.0
431,2002bf_63.0
432,2002bf_50.0
433,2002de_57.0
434,2002dp_57.0
435,2002dp_63.0
436,2002ha_57.0
437,2002ha_63.0
438,2002he_57.0
439,2002he_63.0
440,2002hu_63.0
441,2002jy_63.0
442,2002kf_63.0
443,20039_1.0
444,2003U_63.0
445,2003W_57.0
446,2003W_63.0
447,2003ch_63.0
448,2003fa_57.0
449,2003fa_63.0
450,2003iv_63.0
451,20040_1.0
452,20048_1.0
453,2004L_63.0
454,2004S_57.0
455,2004as_57.0
456,2004as_63.0
457,2004eo_5.0
458,2004gs_5.0
459,2004gu_5.0
460,2005ag_5.0
461,2005al_5.0
462,2005bg_5.0
463,2005bo_57.0
464,2005bo_5.0
465,2005el_57.0
466,2005el_64.0
467,2005eq_57.0
468,2005eq_5.0
469,2005eq_64.0
470,2005eu_57.0
471,2005eu_64.0
472,2005hc_5.0
473,2005hc_64.0
474,2005iq_5.0
475,2005iq_64.0
476,2005ir_5.0
477,2005kc_5.0
478,2005kc_64.0
479,2005ki_51.0
480,2005ki_5.0
481,2005ki_64.0
482,2005lz_64.0
483,2005ms_64.0
484,2005na_57.0
485,2005na_5.0
486,2005na_64.0
487,20064_1.0
488,2006N_64.0
489,2006S_64.0
490,2006ac_57.0
491,2006ac_64.0
492,2006al_64.0
493,2006ax_5.0
494,2006ax_64.0
